nombre,ciudad,telefono,direccion,facturacion
Proveedor 57,Huancayo,923182514,Av. Lima 2301,37314.32
Proveedor 58,Ica,965938288,Av. San Martín 3179,45714.92
Proveedor 59,Huancayo,960185378,,35623.69
Proveedor 60,Puno,,Av. Central 3388,12849.77
Proveedor 61,Ica,946772637,Av. Cusco 8375,46192.14
Proveedor 62,Cusco,989731181,Av. Central 7875,17813.12
Proveedor 63,Piura,,,28826.77
Proveedor 64,Cusco,,,39125.03
Proveedor 65,Lima,927758896,Av. Principal 238,30613.02
Proveedor 66,Piura,960529679,Av. Cusco 4228,15456.18
Proveedor 67,Cajamarca,,Av. Comercial 6231,29891.74
Proveedor 68,Arequipa,955135227,Av. Comercial 5427,13426.77
Proveedor 69,,979429969,Av. San Martín 9930,
Proveedor 70,Lima,,Av. Cusco 6728,2248.29
Proveedor 71,Cajamarca,956059101,Av. Lima 8859,24048.89
Proveedor 72,Ica,932815223,Av. Principal 3067,23803.65
Proveedor 73,Puno,934571018,Av. Puno 1563,11554.73
Proveedor 74,Chiclayo,954468633,Av. Principal 4917,
Proveedor 75,Cajamarca,,,34194.54
Proveedor 76,,,Av. Lima 5714,28685.48
Proveedor 77,,934207075,Av. Cusco 5549,9252.8
Proveedor 78,Lima,938102825,Av. Lima 9541,24734.07
Proveedor 79,,968211760,Av. Cusco 7129,
Proveedor 80,Cusco,911889398,,33999.03
Proveedor 81,Cusco,956217844,Av. San Martín 6384,
Proveedor 82,Lima,949034245,Av. Principal 9870,21966.43
Proveedor 83,Trujillo,975790669,Av. Lima 2801,45951.17
Proveedor 84,Cusco,,Av. San Martín 9761,6596.52
Proveedor 85,Lima,,Av. Principal 896,
Proveedor 86,,925541047,Av. Cusco 2124,23982.62
Proveedor 87,Lima,,Av. Principal 4523,35185.95
Proveedor 88,Arequipa,,Av. San Martín 1841,30645.59
Proveedor 89,Puno,958039455,,25069.56
Proveedor 90,Huancayo,,Av. San Martín 1909,
Proveedor 91,Arequipa,920072800,Av. San Martín 4292,23109.19
Proveedor 92,Piura,923396125,Av. Central 746,18330.63
Proveedor 93,Chiclayo,922750478,Av. San Martín 258,33336.07
Proveedor 94,Ica,,Av. Comercial 1622,
Proveedor 95,Chiclayo,946484819,Av. Comercial 7935,32617.9
Proveedor 96,,917871385,,45605.72
Proveedor 97,Cajamarca,934328380,Av. Central 5975,43197.5
Proveedor 98,Trujillo,,,13449.84
Proveedor 99,Puno,987396519,Av. Lima 5642,34567.96
